user_id,item_id,timestamp,rating
101,259,874724710,1
101,1,874724727,1
101,45,874724754,1
101,430,874724781,1
101,20,874724843,1
101,234,874724882,1
101,35,874724882,1
101,39,874724905,1
101,846,874724937,1
101,70,874724988,1
101,338,874725081,1
101,77,874725120,1
101,372,874725264,1
101,196,874725386,1
101,136,874725485,1
101,299,874725485,1
845,187,874728168,1
845,460,874728338,1
845,411,874728338,1
845,57,874728370,1
845,779,874728396,1
845,456,874728396,1
845,146,874728430,1
845,120,874728461,1
845,46,874728565,1
845,50,874728598,1
705,288,874729682,1
705,854,874729682,1
705,195,874729749,1
705,171,874729750,1
705,675,874729750,1
705,198,874729750,1
705,87,874729778,1
705,907,874729778,1
705,297,874729816,1
705,26,874729816,1
705,58,874729850,1
705,483,874729850,1
705,316,874729850,1
705,190,874729850,1
705,197,874729901,1
705,20,874729901,1
705,191,874729901,1
705,424,874729935,1
705,441,874729935,1
705,258,874729935,1
705,636,874729935,1
705,333,874729935,1
705,237,874729935,1
705,440,874729960,1
705,32,874729995,1
705,415,874729995,1
705,199,874729995,1
705,732,874729996,1
705,755,874729996,1
705,833,874729996,1
705,336,874730031,1
705,250,874730031,1
705,12,874730031,1
705,537,874730031,1
705,447,874730056,1
705,315,874730085,1
705,255,874730085,1
705,472,874730085,1
705,201,874730085,1
705,1249,874730155,1
705,126,874730155,1
705,369,874730155,1
705,1295,874730155,1
705,141,874730179,1
705,839,874730206,1
705,1269,874730206,1
705,18,874730206,1
705,257,874730234,1
705,1206,874730234,1
705,380,874730234,1
705,431,874730234,1
705,676,874730235,1
705,361,874730261,1
705,756,874730261,1
705,102,874730261,1
705,203,874730261,1
705,736,874730293,1
705,667,874730293,1
705,136,874730293,1
705,327,874730320,1
705,23,874730320,1
705,734,874730320,1
705,334,874730342,1
705,157,874730370,1
705,343,874730370,1
705,733,874730370,1
705,366,874730370,1
705,295,874730396,1
705,306,874730396,1
705,485,874730396,1
705,521,874730420,1
705,595,874730443,1
705,718,874730467,1
705,16,874730467,1
705,217,874730467,1
705,349,874730490,1
705,92,874730491,1
705,570,874730491,1
705,254,874730491,1
705,553,874730520,1
705,612,874730520,1
705,606,874730520,1
705,439,874730521,1
705,364,874730521,1
705,339,874730552,1
705,218,874730552,1
705,103,874730552,1
705,80,874730553,1
705,451,874730553,1
845,17,874767408,1
845,27,874767408,1
845,694,874767408,1
845,43,874767519,1
845,77,874767550,1
845,657,874767550,1
845,287,874767550,1
20,40,874774286,1
20,1,874774286,1
20,41,874774449,1
20,397,874774449,1
20,408,874774575,1
20,283,874774575,1
20,47,874774575,1
20,269,874774575,1
20,198,874774718,1
20,135,874774719,1
20,461,874774815,1
20,1022,874774956,1
20,280,874774956,1
20,815,874774956,1
20,649,874774993,1
20,88,874775038,1
20,45,874775038,1
20,816,874775136,1
20,407,874775136,1
20,861,874775136,1
20,268,874775185,1
20,244,874775185,1
20,263,874775262,1
20,72,874775262,1
20,409,874775262,1
20,463,874775262,1
20,207,874775311,1
20,46,874775311,1
20,587,874775406,1
20,43,874775406,1
20,123,874775406,1
20,763,874775406,1
20,917,874775406,1
20,197,874775406,1
20,564,874775465,1
20,30,874775465,1
20,24,874775465,1
20,70,874775535,1
20,271,874775535,1
20,453,874775580,1
20,156,874775580,1
20,724,874775580,1
20,253,874775580,1
20,7,874775614,1
20,456,874775647,1
20,656,874775680,1
20,69,874775731,1
20,77,874775815,1
20,630,874775815,1
20,181,874775849,1
20,122,874775914,1
20,259,874775914,1
20,658,874775945,1
20,50,874775945,1
20,762,874775980,1
20,761,874775980,1
635,374,874777260,1
635,473,874777440,1
635,60,874777491,1
635,419,874777491,1
635,22,874777528,1
635,59,874777528,1
635,311,874777528,1
635,517,874777583,1
635,432,874777623,1
635,435,874777623,1
635,84,874777658,1
635,302,874777701,1
635,598,874777735,1
635,503,874777735,1
635,154,874777735,1
635,65,874777765,1
635,607,874777833,1
635,319,874777890,1
635,499,874777925,1
635,247,874777948,1
635,145,874777974,1
635,434,874777998,1
635,141,874778065,1
635,165,874778065,1
635,21,874778065,1
635,254,874778095,1
635,33,874778096,1
635,139,874778154,1
635,536,874778181,1
635,805,874778207,1
635,25,874778240,1
635,133,874778240,1
635,190,874778240,1
635,85,874778274,1
635,530,874778274,1
635,299,874778274,1
635,249,874778274,1
635,475,874778299,1
635,10,874778299,1
635,26,874778345,1
635,237,874778345,1
635,12,874778366,1
635,215,874778424,1
635,212,874778479,1
635,222,874778479,1
635,304,874778479,1
635,93,874778479,1
635,210,874778479,1
635,201,874778515,1
635,58,874778515,1
635,242,874778515,1
635,68,874778568,1
635,209,874778568,1
635,87,874778569,1
635,73,874778569,1
635,92,874778569,1
635,75,874778569,1
635,80,874778612,1
635,744,874778612,1
635,743,874778612,1
635,211,874778612,1
635,672,874778613,1
635,481,874778696,1
635,91,874778722,1
635,751,874778756,1
635,759,874778756,1
635,753,874778756,1
20,454,874780832,1
20,836,874780860,1
593,800,874780864,1
593,948,874780864,1
593,515,874780909,1
593,121,874780945,1
20,54,874780969,1
593,619,874781004,1
593,47,874781004,1
